,repair_date,repair_cafe_number,repair_cafe_name,country,kind_of_product,category,brand,repaired,repairability
151429,2020-10-13,221,Apeldoorn-Noord,NL,Tuner / amplifier,Display and sound equipment,JVC,yes,10.0
151430,2020-10-13,221,Apeldoorn-Noord,NL,Cassette player / recorder,Display and sound equipment,Sony,no,3.0
151431,2020-10-13,221,Apeldoorn-Noord,NL,Vacuum cleaner,Household appliances electric,AEG,yes,3.0
151432,2020-10-13,221,Apeldoorn-Noord,NL,Vacuum cleaner,Household appliances electric,Miele,yes,3.0
151433,2020-10-13,221,Apeldoorn-Noord,NL,Vacuum cleaner,Household appliances electric,Miele,yes,3.0
151435,2020-10-12,221,Apeldoorn-Noord,NL,Electric baking tray,Household appliances electric,Tefal,no,9.0
151436,2020-10-12,221,Apeldoorn-Noord,NL,Chainsaw,Tools electric,Unknown/n.a.,no,7.0
151437,2020-10-12,221,Apeldoorn-Noord,NL,Vacuum cleaner,Household appliances electric,Miele,yes,9.0
151438,2020-10-12,221,Apeldoorn-Noord,NL,Speaker,Display and sound equipment,Pulse,no,2.0
151439,2020-10-12,221,Apeldoorn-Noord,NL,Iron,Household appliances electric,AEG,no,6.0
151440,2020-10-12,221,Apeldoorn-Noord,NL,Stove,Household appliances electric,Elro,no,5.0
151441,2020-10-12,221,Apeldoorn-Noord,NL,Vacuum cleaner,Household appliances electric,Inventum,yes,3.0
151447,2020-10-10,68,Utrecht-Zuilen,NL,DVD player / recorder,Display and sound equipment,Sony,half,4.0
151448,2020-10-10,68,Utrecht-Zuilen,NL,Grill oven,Household appliances electric,Pelgrim,no,3.0
151449,2020-10-10,68,Utrecht-Zuilen,NL,Electric kettle / Electric jug,Household appliances electric,Solis,yes,7.0
151450,2020-10-10,68,Utrecht-Zuilen,NL,Sandwich maker,Household appliances electric,Tomado,yes,7.0
151451,2020-10-10,68,Utrecht-Zuilen,NL,Trousers / pants,Textile,Unknown/n.a.,yes,6.0
151452,2020-10-10,68,Utrecht-Zuilen,NL,Amplifier,Display and sound equipment,Sansui,half,7.0
151453,2020-10-10,68,Utrecht-Zuilen,NL,Vacuum cleaner,Household appliances electric,AEG,yes,7.0
151454,2020-10-10,68,Utrecht-Zuilen,NL,Radiant heater,Household appliances electric,Unknown/n.a.,yes,6.0
151455,2020-10-10,68,Utrecht-Zuilen,NL,Mosquito lamp,Textile,Mosquito net,yes,7.0
151456,2020-10-10,68,Utrecht-Zuilen,NL,Stick mixer / Hand blender,Household appliances electric,Tomado,no,6.0
151457,2020-10-10,68,Utrecht-Zuilen,NL,Vacuum cleaner,Household appliances electric,Electrolux,no,7.0
151458,2020-10-10,68,Utrecht-Zuilen,NL,Lamp / Lighting,Household appliances electric,Unknown/n.a.,no,3.0
151459,2020-10-10,68,Utrecht-Zuilen,NL,Coffee maker,Household appliances electric,Philips,yes,6.0
151460,2020-10-10,68,Utrecht-Zuilen,NL,Epilator,Household appliances electric,Braun,yes,10.0
151464,2018-11-17,44,New Paltz NY,US,Filing cabinet,Furniture,Unknown/n.a.,yes,10.0
151466,2018-11-17,44,New Paltz NY,US,Radio,Display and sound equipment,Unknown/n.a.,yes,5.0
151467,2018-11-17,44,New Paltz NY,US,Headphones,Display and sound equipment,Razer,no,1.0
151468,2018-11-17,44,New Paltz NY,US,Lamp / Lighting,Household appliances electric,Unknown/n.a.,yes,9.0
151471,2018-11-17,44,New Paltz NY,US,Lamp / Lighting,Household appliances electric,Unknown/n.a.,yes,9.0
151472,2019-05-25,44,New Paltz NY,US,Laptop,Computer equipment / phones,Dell,no,4.0
151473,2019-05-25,44,New Paltz NY,US,Scarf / Shawl,Textile,Unknown/n.a.,yes,9.0
151475,2019-05-25,44,New Paltz NY,US,Jacket / Blazer,Textile,Unknown/n.a.,yes,2.0
151476,2019-05-25,44,New Paltz NY,US,Lamp / Lighting,Household appliances electric,Unknown/n.a.,yes,7.0
151482,2019-05-25,44,New Paltz NY,US,Sweater / Pullover / Jumper,Textile,Unknown/n.a.,yes,3.0
151483,2019-05-25,44,New Paltz NY,US,Necklace / Chain,Jewelry,Unknown/n.a.,yes,10.0
151484,2019-05-25,44,New Paltz NY,US,Necklace / Chain,Jewelry,Unknown/n.a.,yes,10.0
151485,2019-05-25,44,New Paltz NY,US,Toy,Toys electric,Unknown/n.a.,no,8.0
151490,2019-05-25,44,New Paltz NY,US,Radio,Display and sound equipment,Sangean,yes,3.0
151491,2019-05-25,44,New Paltz NY,US,Clock,Clocks / alarm clocks,Unknown/n.a.,yes,1.0
151492,2019-05-25,44,New Paltz NY,US,Smartphone,Computer equipment / phones,Samsung,half,7.0
151493,2019-05-25,44,New Paltz NY,US,Smartphone,Computer equipment / phones,Apple,half,7.0
151494,2019-05-25,44,New Paltz NY,US,Embroidery hoop stand,Other,Unknown/n.a.,yes,1.0
151496,2019-05-25,44,New Paltz NY,US,Laptop,Computer equipment / phones,Apple,yes,9.0
151498,2019-05-25,44,New Paltz NY,US,Necklace / Chain,Jewelry,Unknown/n.a.,yes,6.0
151499,2019-05-25,44,New Paltz NY,US,Lamp / Lighting,Household appliances electric,Unknown/n.a.,no,3.0
151502,2019-05-25,44,New Paltz NY,US,Lamp / Lighting,Household appliances electric,Unknown/n.a.,yes,2.0
151504,2019-05-25,44,New Paltz NY,US,Lamp / Lighting,Household appliances electric,Unknown/n.a.,yes,4.0
151505,2019-05-25,44,New Paltz NY,US,Lamp / Lighting,Household appliances electric,Unknown/n.a.,yes,5.0
151506,2019-05-25,44,New Paltz NY,US,Fan,Household appliances electric,Unknown/n.a.,yes,7.0
151576,2020-10-03,9,Assen,NL,Pasta maker,Household appliances electric,Unknown/n.a.,no,3.0
151577,2020-10-03,9,Assen,NL,Trousers / pants,Textile,Unknown/n.a.,yes,8.0
151578,2020-10-03,9,Assen,NL,Leggings,Textile,Unknown/n.a.,yes,9.0
151580,2020-10-03,9,Assen,NL,Coffee grinder,Household appliances electric,Tomado,yes,7.0
151584,2020-10-03,9,Assen,NL,Lamp / Lighting,Household appliances electric,Unknown/n.a.,yes,7.0
151585,2020-10-03,9,Assen,NL,Radio,Display and sound equipment,Philips,yes,8.0
151586,2020-10-03,9,Assen,NL,Scales,Household appliances non-electric,Exacta,yes,10.0
151587,2020-10-03,9,Assen,NL,Christmas lights,Household appliances electric,Unknown/n.a.,yes,10.0
151588,2020-10-03,9,Assen,NL,Trousers / pants,Textile,Unknown/n.a.,yes,8.0
151589,2020-10-03,9,Assen,NL,Coat / Jacket,Textile,Unknown/n.a.,yes,7.0
151590,2020-10-03,9,Assen,NL,Coat / Jacket,Textile,Unknown/n.a.,yes,8.0
151591,2020-10-03,9,Assen,NL,Coffee maker,Household appliances electric,Dolce gusto,yes,8.0
151592,2020-10-03,9,Assen,NL,Shaver / Razor,Household appliances electric,Philips,no,10.0
151593,2020-10-03,9,Assen,NL,Dress,Textile,Unknown/n.a.,yes,9.0
151594,2020-10-03,9,Assen,NL,Playstation,Toys electric,Sony,yes,6.0
151595,2020-10-03,9,Assen,NL,Drawer,Household appliances non-electric,Unknown/n.a.,yes,8.0
151596,2020-10-03,9,Assen,NL,Trousers / pants,Textile,Unknown/n.a.,yes,10.0
