,repair_date,repair_cafe_number,repair_cafe_name,country,kind_of_product,category,brand,repaired,repairability
151861,2020-09-05,9,Assen,NL,Coffee maker,Household appliances electric,Philips,half,3.0
151862,2020-09-05,9,Assen,NL,Vacuum cleaner,Household appliances electric,AEG,yes,7.0
151863,2020-09-05,9,Assen,NL,Sewing machine,Household appliances electric,Singer,yes,9.0
151864,2020-09-05,9,Assen,NL,Vacuum cleaner,Household appliances electric,AEG,no,5.0
151865,2020-09-05,9,Assen,NL,Shaver / Razor,Household appliances electric,Philips,yes,9.0
151866,2020-09-05,9,Assen,NL,Skirt,Textile,Unknown/n.a.,yes,10.0
151867,2020-09-05,9,Assen,NL,Vacuum cleaner,Household appliances electric,Unknown/n.a.,no,6.0
151868,2020-09-05,9,Assen,NL,Vacuum cleaner,Household appliances electric,Philips,yes,10.0
151871,2020-09-05,9,Assen,NL,Vacuum cleaner,Household appliances electric,Unknown/n.a.,yes,10.0
151873,2020-09-05,9,Assen,NL,Clock,Household appliances non-electric,Unknown/n.a.,no,2.0
151874,2020-09-05,9,Assen,NL,Lamp / Lighting,Household appliances electric,Unknown/n.a.,yes,7.0
151875,2020-09-05,9,Assen,NL,Toaster,Household appliances electric,Unknown/n.a.,no,10.0
151876,2020-09-05,9,Assen,NL,Printer,Display and sound equipment,Olivetti,yes,7.0
151877,2020-09-05,9,Assen,NL,Video camera,Display and sound equipment,Sony,half,1.0
151880,2020-09-05,16,Delft,NL,Television,Display and sound equipment,Philips,half,7.0
151882,2020-09-05,16,Delft,NL,Suitcase,Household appliances non-electric,Unknown/n.a.,yes,8.0
