index,repair_date,repair_cafe_number,repair_cafe_name,country,kind_of_product,category,brand,repaired,repairability
0,2026-02-14,550,Louth,GB,Vacuum cleaner,Household appliances electric,Henry,no,3.0
1,2026-02-14,550,Louth,GB,Accordion,Display and sound equipment,Microvox,no,6.0
2,2026-03-07,250,Madrid Medialab Matadero,ES,Television,Display and sound equipment,LG,no,7.0
3,2026-03-07,250,Madrid Medialab Matadero,ES,Table clock,Clocks / alarm clocks,Unknown/n.a.,yes,7.0
4,2026-03-07,250,Madrid Medialab Matadero,ES,Television,Display and sound equipment,Engel,no,7.0
5,2026-03-07,250,Madrid Medialab Matadero,ES,Walkman,Display and sound equipment,Sanyo,yes,9.0
6,2026-03-07,250,Madrid Medialab Matadero,ES,Electric drill / Power drill,Tools electric,Bosch,yes,7.0
7,2026-03-07,250,Madrid Medialab Matadero,ES,Badge maker,Other,Unknown/n.a.,half,8.0
8,2026-03-07,250,Madrid Medialab Matadero,ES,Coffee maker,Household appliances electric,DeLonghi,no,6.0
9,2026-03-07,250,Madrid Medialab Matadero,ES,Hair dryer,Household appliances electric,Parlux,yes,1.0
10,2026-03-07,250,Madrid Medialab Matadero,ES,Radio,Display and sound equipment,Pritech,yes,10.0
11,2026-03-07,250,Madrid Medialab Matadero,ES,Laptop,Computer equipment / phones,Packard Bell,yes,5.0
12,2026-03-07,250,Madrid Medialab Matadero,ES,Hair dryer,Household appliances electric,Russell Hobbs,yes,2.0
13,2025-11-01,550,Louth,GB,Hair dryer,Household appliances electric,Mark Hill,yes,10.0
14,2026-02-14,550,Louth,GB,Radio,Display and sound equipment,Daewoo,no,2.0
15,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Cardigan,Textile,Unknown/n.a.,yes,5.0
16,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Dress,Textile,Unknown/n.a.,yes,4.0
17,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Coat / Jacket,Textile,Unknown/n.a.,yes,5.0
18,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Fitted sheet,Textile,Unknown/n.a.,yes,4.0
19,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Trousers / pants,Textile,Unknown/n.a.,yes,4.0
20,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Coffee maker,Household appliances electric,Philips,yes,6.0
21,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Trousers / pants,Textile,Unknown/n.a.,yes,4.0
22,2026-03-07,460,Kirchzarten,DE,Radio / CD player,Display and sound equipment,Clatronic,yes,6.0
23,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Upright vacuum cleaner,Household appliances electric,AEG,yes,3.0
24,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Hammer drill,Tools electric,Parkside,yes,4.0
25,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Trousers / pants,Textile,Unknown/n.a.,yes,3.0
26,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Trousers / pants,Textile,Unknown/n.a.,yes,3.0
27,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Bicycle / Bike,Bicycles,Victoria,yes,3.0
28,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Floor lamp / Standard lamp,Household appliances electric,Unknown/n.a.,yes,7.0
29,2026-03-07,460,Kirchzarten,DE,Paper shredder,Tools electric,Leitz,yes,6.0
30,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Floor lamp / Standard lamp,Household appliances electric,Unknown/n.a.,no,6.0
31,2026-03-07,227,Rugby,GB,Angle grinder / Disc cutter,Tools electric,Marksman power tools,half,5.0
32,2026-03-07,227,Rugby,GB,Bicycle / Bike,Bicycles,Cross,yes,6.0
33,2026-03-07,227,Rugby,GB,Lawn mower / lawn raker,Tools electric,Unknown/n.a.,half,3.0
34,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Stove,Household appliances electric,Intertek,yes,4.0
35,2026-03-07,460,Kirchzarten,DE,Power bank,Household appliances electric,Neue Marke hinzufügen,yes,8.0
36,2026-03-07,907,Bognor Regis,GB,Shoulder bag,Textile,Unknown/n.a.,yes,9.0
37,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Trousers / pants,Textile,Unknown/n.a.,yes,4.0
38,2026-02-07,907,Bognor Regis,GB,Hair straightener / Hot brush,Household appliances electric,Ghd,yes,10.0
39,2026-03-07,227,Rugby,GB,Vacuum cleaner,Household appliances electric,Sebo,half,10.0
40,2026-02-07,907,Bognor Regis,GB,Radio / CD / cassette player,Display and sound equipment,Roberts,yes,10.0
41,2026-03-07,227,Rugby,GB,Video camera,Display and sound equipment,Sony,yes,9.0
42,2026-03-07,227,Rugby,GB,Electric kettle / Electric jug,Household appliances electric,Russell Hobbs,no,5.0
43,2026-03-07,460,Kirchzarten,DE,Paper shredder,Tools electric,Genie,yes,9.0
44,2026-03-07,907,Bognor Regis,GB,Strimmer,Tools electric,Black and Decker,yes,10.0
45,2026-03-07,907,Bognor Regis,GB,Vacuum cleaner,Household appliances electric,Shark,yes,4.0
46,2026-03-07,907,Bognor Regis,GB,Bolster,Tools non-electric,Unknown/n.a.,yes,4.0
47,2026-03-07,907,Bognor Regis,GB,Lawn mower / lawn raker,Tools electric,Bosch,yes,4.0
48,2026-03-07,907,Bognor Regis,GB,Tweezers,Tools non-electric,Unknown/n.a.,yes,7.0
49,2026-03-07,907,Bognor Regis,GB,Electric lawnmower,Tools electric,Bosch,yes,4.0
50,2026-03-07,907,Bognor Regis,GB,Knife / knives / scissors,Household appliances non-electric,Unknown/n.a.,yes,8.0
51,2026-03-07,907,Bognor Regis,GB,Sunglasses,Other,Ray-Ban,yes,4.0
52,2026-03-07,907,Bognor Regis,GB,Knife / knives / scissors,Household appliances non-electric,Unknown/n.a.,yes,1.0
53,2025-10-04,853,Gorredijk,NL,Handheld vacuum cleaner,Household appliances electric,Black+Decker,no,2.0
54,2026-03-07,460,Kirchzarten,DE,Tuner / CD player,Display and sound equipment,Sony,yes,1.0
55,2026-03-07,907,Bognor Regis,GB,Knife / knives / scissors,Household appliances non-electric,Unknown/n.a.,yes,3.0
56,2026-03-07,858,Vitrolles,FR,Keyboard,Computer equipment / phones,Wacom,yes,4.0
57,2026-03-07,460,Kirchzarten,DE,Amplifier,Display and sound equipment,Kenwood,yes,10.0
58,2026-03-07,858,Vitrolles,FR,Food processor,Household appliances electric,Seb,yes,3.0
59,2026-03-07,907,Bognor Regis,GB,Sunglasses,Other,Cartier,no,1.0
60,2026-03-07,907,Bognor Regis,GB,Sound mixer,Display and sound equipment,Goodmans,yes,10.0
61,2026-03-07,858,Vitrolles,FR,Multitool,Tools electric,Dremel,yes,4.0
62,2026-03-07,227,Rugby,GB,Pressure washer / High-pressure cleaner / Jet washer,Tools electric,Kärcher,yes,8.0
63,2026-03-07,907,Bognor Regis,GB,Rollator / Mobility walker,Other,Unknown/n.a.,yes,4.0
64,2026-02-07,853,Gorredijk,NL,Laptop,Computer equipment / phones,HP,half,5.0
65,2026-03-07,858,Vitrolles,FR,Wall clock,Clocks / alarm clocks,Unknown/n.a.,yes,10.0
66,2026-03-07,227,Rugby,GB,Knife / knives / scissors,Household appliances non-electric,Unknown/n.a.,yes,10.0
67,2025-09-06,853,Gorredijk,NL,Pruning shears / Garden shears / Secateurs,Tools electric,Top craft,no,4.0
68,2026-03-07,460,Kirchzarten,DE,Popcorn maker,Household appliances electric,Tchibo,no,9.0
69,2026-03-07,853,Gorredijk,NL,Coffee maker,Household appliances electric,Philips,half,7.0
70,2026-03-07,853,Gorredijk,NL,Charger (battery / power supply),Tools electric,Unknown/n.a.,no,8.0
71,2026-03-07,907,Bognor Regis,GB,Hair brush,Other,Denman,no,2.0
72,2026-03-07,853,Gorredijk,NL,Massage equipment / Massager,Household appliances electric,Medisana,no,4.0
73,2026-03-07,227,Rugby,GB,Stroller / Push chair / Buggy,Other,Graco,no,3.0
74,2026-03-07,907,Bognor Regis,GB,Spoon,Household appliances non-electric,Unknown/n.a.,yes,2.0
75,2026-03-07,227,Rugby,GB,Air fryer,Household appliances electric,Dawoo,yes,10.0
76,2026-03-07,802,Rolde,NL,Fan heater,Household appliances electric,Tomado,yes,4.0
77,2026-03-07,858,Vitrolles,FR,Coffee maker,Household appliances electric,Petra,no,1.0
78,2026-03-07,802,Rolde,NL,Underwear,Textile,Unknown/n.a.,yes,8.0
79,2026-03-07,460,Kirchzarten,DE,Flour grinder / flour mill,Household appliances non-electric,Messerschmidt,yes,6.0
80,2026-03-07,907,Bognor Regis,GB,Pruning shears / Garden shears / Secateurs,Tools non-electric,Darlac,yes,9.0
81,2026-03-07,802,Rolde,NL,Laptop,Computer equipment / phones,Unknown/n.a.,yes,9.0
82,2026-03-07,853,Gorredijk,NL,Electric heater / radiator,Household appliances electric,Unknown/n.a.,yes,8.0
83,2026-03-07,853,Gorredijk,NL,Hot plate,Household appliances electric,Rommelsbacher,yes,5.0
84,2026-03-07,907,Bognor Regis,GB,Pruning shears / Garden shears / Secateurs,Tools non-electric,Unknown/n.a.,yes,4.0
85,2026-03-07,858,Vitrolles,FR,Night light,Household appliances electric,Unknown/n.a.,yes,10.0
86,2026-03-07,802,Rolde,NL,Flashlight / electric torch,Household appliances electric,Unknown/n.a.,yes,7.0
87,2025-11-01,802,Rolde,NL,Electric kettle / Electric jug,Household appliances electric,Tefal,yes,7.0
88,2026-03-07,858,Vitrolles,FR,Stereoset / music centre,Display and sound equipment,Sony,no,1.0
89,2025-11-01,802,Rolde,NL,Cutlery,Household appliances non-electric,Unknown/n.a.,no,2.0
90,2025-11-01,802,Rolde,NL,Bread bin / drum / tin,Household appliances non-electric,Unknown/n.a.,yes,9.0
91,2025-11-01,802,Rolde,NL,transistor radio,Display and sound equipment,Grundig,yes,7.0
92,2025-04-23,824,Chieri - Eco3R Lab,IT,Television,Display and sound equipment,Blaupunkt,yes,8.0
93,2026-03-07,853,Gorredijk,NL,Upright vacuum cleaner,Household appliances electric,Dyson,half,1.0
94,2026-03-07,460,Kirchzarten,DE,Tuner / amplifier / receiver,Display and sound equipment,Adcom,yes,7.0
95,2025-11-01,802,Rolde,NL,Wiel,Other,Unknown/n.a.,no,5.0
96,2026-03-07,227,Rugby,GB,Vacuum cleaner,Household appliances electric,Dyson,half,9.0
97,2025-07-23,824,Chieri - Eco3R Lab,IT,Radio,Display and sound equipment,Telefunken,yes,7.0
98,2026-03-07,853,Gorredijk,NL,Vacuum cleaner,Household appliances electric,Princess,no,1.0
99,2026-03-07,227,Rugby,GB,Coat / Jacket,Textile,Unknown/n.a.,yes,9.0
100,2025-11-01,802,Rolde,NL,olieradiator,Household appliances electric,Unknown/n.a.,yes,8.0
101,2026-03-07,227,Rugby,GB,Knife / knives / scissors,Household appliances non-electric,Various,yes,10.0
102,2026-03-07,227,Rugby,GB,Knapsack,Textile,Karrimor,yes,10.0
103,2026-03-07,853,Gorredijk,NL,Trousers / pants,Other,Unknown/n.a.,yes,7.0
104,2025-11-01,802,Rolde,NL,Laptop,Computer equipment / phones,Unknown/n.a.,yes,7.0
105,2025-11-01,802,Rolde,NL,Speaker,Display and sound equipment,Unknown/n.a.,yes,10.0
106,2026-03-07,853,Gorredijk,NL,Vacuum cleaner,Household appliances electric,Miele,yes,9.0
107,2025-11-01,802,Rolde,NL,Air fryer,Household appliances electric,Unknown/n.a.,no,1.0
108,2025-11-01,802,Rolde,NL,Bicycle light / bike light,Bicycles,Unknown/n.a.,no,1.0
109,2026-03-07,227,Rugby,GB,Air fryer,Household appliances electric,Unknown/n.a.,yes,10.0
110,2025-11-01,802,Rolde,NL,Food processor,Household appliances electric,Philips,no,1.0
111,2025-11-01,802,Rolde,NL,Christmas lights,Other,Unknown/n.a.,yes,7.0
112,2025-01-25,824,Chieri - Eco3R Lab,IT,Electric screwdriver,Tools electric,Practyl,yes,10.0
113,2026-03-07,858,Vitrolles,FR,Handheld vacuum cleaner,Household appliances electric,Tineco,yes,10.0
114,2025-11-01,802,Rolde,NL,Trousers / pants,Textile,Unknown/n.a.,yes,6.0
115,2025-11-01,802,Rolde,NL,Flag,Textile,Unknown/n.a.,yes,10.0
116,2025-02-16,824,Chieri - Eco3R Lab,IT,Vacuum cleaner,Household appliances electric,Dyson,yes,8.0
117,2025-11-01,802,Rolde,NL,Trousers / pants,Textile,Unknown/n.a.,half,3.0
118,2026-03-07,419,Seyssinet-Pariset,FR,Stereoset / music centre,Display and sound equipment,Philips,yes,5.0
119,2025-11-01,802,Rolde,NL,Trousers / pants,Textile,Unknown/n.a.,yes,7.0
120,2026-01-17,984,Ried,AT,Mini disc player,Display and sound equipment,Unknown/n.a.,yes,10.0
121,2025-02-26,824,Chieri - Eco3R Lab,IT,Steam cleaner,Household appliances electric,Polti,yes,8.0
122,2026-01-17,984,Ried,AT,Shaver / Razor,Household appliances electric,Unknown/n.a.,yes,10.0
123,2026-01-17,984,Ried,AT,Bread slicer,Household appliances electric,Graef,yes,10.0
124,2026-03-07,853,Gorredijk,NL,Radio,Display and sound equipment,Tivoli Audio,half,8.0
125,2025-11-01,802,Rolde,NL,Floor lamp / Standard lamp,Household appliances electric,Unknown/n.a.,yes,7.0
126,2026-01-17,984,Ried,AT,Electric drill / Power drill,Tools electric,Unknown/n.a.,yes,8.0
127,2026-03-07,858,Vitrolles,FR,Booster démarreur,Other,Norauto,no,1.0
128,2026-01-17,984,Ried,AT,Sewing box,Textile,Unknown/n.a.,yes,10.0
129,2026-01-17,984,Ried,AT,Tuner / amplifier / CD player,Display and sound equipment,Philips,yes,8.0
130,2026-01-17,984,Ried,AT,E-bike,Bicycles,Unknown/n.a.,half,2.0
131,2026-01-17,984,Ried,AT,Coat / Jacket,Textile,Unknown/n.a.,yes,8.0
132,2026-01-17,984,Ried,AT,Coat / Jacket,Textile,Unknown/n.a.,yes,10.0
133,2026-02-07,808,Leiden - Ons Buiten,NL,Microwave,Household appliances electric,Unknown/n.a.,yes,7.0
134,2026-01-17,984,Ried,AT,Skirt,Textile,Unknown/n.a.,yes,10.0
135,2026-01-17,984,Ried,AT,Hat,Textile,Unknown/n.a.,yes,10.0
136,2026-01-17,984,Ried,AT,Electric kettle / Electric jug,Household appliances electric,WMF,no,1.0
137,2026-03-07,419,Seyssinet-Pariset,FR,Food processor,Household appliances electric,Bosch,no,2.0
138,2026-01-17,984,Ried,AT,Desk lamp,Household appliances electric,Unknown/n.a.,yes,10.0
139,2026-01-17,984,Ried,AT,Jeans,Textile,Unknown/n.a.,yes,10.0
140,2026-01-17,984,Ried,AT,Electric kettle / Electric jug,Household appliances electric,WMF,no,1.0
141,2025-12-06,808,Leiden - Ons Buiten,NL,Coffee maker,Household appliances electric,Unknown/n.a.,no,1.0
142,2026-01-17,984,Ried,AT,Coffee grinder,Household appliances electric,ECM,yes,8.0
143,2025-11-01,802,Rolde,NL,Metal detector,Tools electric,Unknown/n.a.,yes,7.0
144,2026-01-17,984,Ried,AT,Sewing machine,Household appliances electric,Unknown/n.a.,yes,4.0
145,2026-01-17,984,Ried,AT,Pressure washer / High-pressure cleaner / Jet washer,Tools electric,Kärcher,half,10.0
146,2026-03-07,460,Kirchzarten,DE,Toaster,Household appliances electric,Cloer,yes,5.0
147,2026-01-03,808,Leiden - Ons Buiten,NL,Pruning shears / Garden shears / Secateurs,Tools non-electric,Unknown/n.a.,yes,5.0
148,2024-12-11,824,Chieri - Eco3R Lab,IT,Fan heater,Household appliances electric,OZEANOS,no,1.0
149,2026-03-07,853,Gorredijk,NL,Floor lamp / Standard lamp,Household appliances electric,Unknown/n.a.,yes,8.0
150,2026-03-07,808,Leiden - Ons Buiten,NL,Fan heater,Household appliances electric,Tristar,yes,5.0
151,2026-03-07,808,Leiden - Ons Buiten,NL,olie kachel,Household appliances non-electric,Zibro,half,6.0
152,2024-08-05,824,Chieri - Eco3R Lab,IT,Television,Display and sound equipment,Nikkei,yes,10.0
153,2026-03-07,802,Rolde,NL,Floor lamp / Standard lamp,Household appliances electric,Unknown/n.a.,no,5.0
154,2026-03-07,853,Gorredijk,NL,Towel,Textile,Unknown/n.a.,yes,6.0
155,2026-03-07,808,Leiden - Ons Buiten,NL,Lawn mower / lawn raker,Tools non-electric,Unknown/n.a.,yes,6.0
156,2024-12-11,824,Chieri - Eco3R Lab,IT,Bicycle / Bike,Bicycles,Lilly and Reynolds,yes,10.0
157,2026-03-07,802,Rolde,NL,Coffee maker,Household appliances electric,Philips,yes,8.0
158,2026-03-07,419,Seyssinet-Pariset,FR,Steam cleaner,Household appliances electric,Black+Decker,no,8.0
159,2026-03-07,853,Gorredijk,NL,Massage equipment / Massager,Tools electric,Unknown/n.a.,no,10.0
160,2026-01-03,808,Leiden - Ons Buiten,NL,Trousers / pants,Textile,Unknown/n.a.,yes,5.0
161,2026-01-03,808,Leiden - Ons Buiten,NL,Coat / Jacket,Textile,Unknown/n.a.,yes,1.0
162,2026-03-07,419,Seyssinet-Pariset,FR,Coffee grinder,Household appliances electric,Unknown/n.a.,no,10.0
163,2026-03-07,808,Leiden - Ons Buiten,NL,Coat / Jacket,Textile,Unknown/n.a.,yes,10.0
164,2026-03-07,853,Gorredijk,NL,Laptop,Computer equipment / phones,Acer,yes,1.0
165,2026-03-07,853,Gorredijk,NL,Blouse,Textile,Unknown/n.a.,yes,6.0
166,2026-03-07,802,Rolde,NL,Cassette deck,Display and sound equipment,Sony,yes,9.0
167,2026-03-07,419,Seyssinet-Pariset,FR,Stick mixer / Hand blender,Household appliances electric,Mandine,no,10.0
168,2026-03-07,802,Rolde,NL,Mixer / Blender,Household appliances electric,Philips,yes,8.0
169,2025-12-06,808,Leiden - Ons Buiten,NL,sticker,Household appliances non-electric,pick up,yes,10.0
170,2026-03-07,802,Rolde,NL,Toaster,Household appliances electric,Brabantia,yes,9.0
171,2025-12-06,808,Leiden - Ons Buiten,NL,Outdoor lamp,Household appliances electric,Labtec,yes,9.0
172,2026-03-07,419,Seyssinet-Pariset,FR,Stick mixer / Hand blender,Household appliances electric,SilverCrest,yes,10.0
173,2026-03-07,419,Seyssinet-Pariset,FR,cave,Household appliances electric,Unknown/n.a.,no,7.0
174,2026-03-07,419,Seyssinet-Pariset,FR,vaporetto,Household appliances electric,Polti,yes,8.0
175,2026-02-21,129,Maple Ridge,CA,Coat / Jacket,Textile,Unknown/n.a.,yes,8.0
176,2026-02-21,129,Maple Ridge,CA,Sweater / Pullover / Jumper,Textile,Unknown/n.a.,yes,10.0
177,2026-02-21,129,Maple Ridge,CA,Blender,Household appliances electric,Unknown/n.a.,no,1.0
178,2026-02-21,129,Maple Ridge,CA,Desk lamp,Household appliances electric,Unknown/n.a.,yes,10.0
179,2026-02-21,129,Maple Ridge,CA,Bracelet,Jewelry,Unknown/n.a.,yes,2.0
180,2026-02-21,129,Maple Ridge,CA,Earrings,Jewelry,Unknown/n.a.,yes,2.0
181,2026-02-21,129,Maple Ridge,CA,Stool,Furniture,Unknown/n.a.,half,10.0
182,2026-02-21,129,Maple Ridge,CA,Trousers / pants,Textile,Unknown/n.a.,yes,6.0
183,2026-02-21,129,Maple Ridge,CA,Table lamp,Household appliances electric,Unknown/n.a.,yes,4.0
184,2026-02-21,129,Maple Ridge,CA,Sewing machine,Household appliances electric,Unknown/n.a.,half,6.0
185,2026-02-21,129,Maple Ridge,CA,Dress,Textile,Unknown/n.a.,yes,10.0
186,2026-02-21,129,Maple Ridge,CA,Shorts,Textile,Running Room,yes,6.0
187,2026-02-21,129,Maple Ridge,CA,Pressure vest,Textile,Unknown/n.a.,yes,4.0
188,2026-02-21,129,Maple Ridge,CA,Alarm clock radio,Clocks / alarm clocks,Unknown/n.a.,yes,9.0
189,2026-02-21,129,Maple Ridge,CA,Display case,Furniture,Unknown/n.a.,no,4.0
190,2026-02-21,129,Maple Ridge,CA,Desk lamp,Household appliances electric,Unknown/n.a.,no,7.0
191,2026-02-21,129,Maple Ridge,CA,Metal detector,Tools electric,Unknown/n.a.,half,1.0
192,2026-02-21,129,Maple Ridge,CA,Chainsaw,Tools electric,Black+Decker,no,8.0
193,2026-02-21,129,Maple Ridge,CA,Chainsaw,Tools electric,Unknown/n.a.,yes,5.0
194,2026-02-21,129,Maple Ridge,CA,Pyjamas,Textile,Unknown/n.a.,yes,10.0
195,2026-02-21,129,Maple Ridge,CA,Coat / Jacket,Textile,Unknown/n.a.,yes,10.0
196,2026-02-21,129,Maple Ridge,CA,Fibreoptic ornamental tree,Household appliances electric,Canadian Tire,no,6.0
197,2026-02-21,129,Maple Ridge,CA,Hose reel,Tools non-electric,Unknown/n.a.,no,3.0
198,2026-02-21,129,Maple Ridge,CA,Milk frother,Household appliances electric,Breville,no,3.0
199,2026-02-21,129,Maple Ridge,CA,Trousers / pants,Textile,Unknown/n.a.,yes,5.0
200,2026-02-21,129,Maple Ridge,CA,Fan,Household appliances electric,Universal,yes,10.0
201,2026-02-21,129,Maple Ridge,CA,Jeans,Textile,Unknown/n.a.,yes,4.0
202,2026-02-21,129,Maple Ridge,CA,Blender,Household appliances electric,Unknown/n.a.,yes,10.0
203,2026-02-21,129,Maple Ridge,CA,Speaker,Display and sound equipment,Pearl,half,10.0
204,2026-03-06,841,MPL – Memphis TN,US,Vacuum cleaner,Household appliances electric,Shark,yes,8.0
205,2026-02-28,685,Nantes Erdre,FR,Game console,Toys electric,MB electronics,yes,9.0
206,2026-02-28,685,Nantes Erdre,FR,Kitchen scales,Household appliances electric,Unknown/n.a.,yes,10.0
207,2026-02-28,685,Nantes Erdre,FR,Thermometer,Other,Unknown/n.a.,half,5.0
208,2026-02-28,685,Nantes Erdre,FR,Food processor,Household appliances electric,Robot Chef,no,3.0
209,2026-02-28,685,Nantes Erdre,FR,Bed motor,Household appliances electric,Dynavox,no,7.0
210,2026-02-28,685,Nantes Erdre,FR,Step,Toys non-electric,oxeio,yes,8.0
211,2026-02-28,685,Nantes Erdre,FR,Sewing machine,Household appliances electric,Singer,half,7.0
212,2026-02-28,685,Nantes Erdre,FR,Wall lamp,Household appliances electric,Unknown/n.a.,no,10.0
213,2026-02-28,685,Nantes Erdre,FR,Microwave,Household appliances electric,Daewoo,half,7.0
214,2026-02-28,685,Nantes Erdre,FR,Radio / amplifier,Display and sound equipment,Unknown/n.a.,no,5.0
215,2026-02-28,685,Nantes Erdre,FR,Laptop,Computer equipment / phones,Apple,half,7.0
216,2026-02-28,685,Nantes Erdre,FR,Welding machine,Tools electric,SilverCrest,no,8.0
217,2026-02-28,685,Nantes Erdre,FR,Wall lamp,Household appliances electric,Ikea,yes,4.0
218,2025-11-17,841,MPL – Memphis TN,US,Trousers / pants,Textile,Unknown/n.a.,yes,8.0
219,2026-03-06,841,MPL – Memphis TN,US,Laundry bag / Wash bag,Textile,Unknown/n.a.,half,9.0
220,2026-03-06,841,MPL – Memphis TN,US,Cargo bike,Bicycles,Next,yes,8.0
221,2026-03-06,841,MPL – Memphis TN,US,Laptop,Computer equipment / phones,Toshiba,yes,10.0
222,2026-03-06,841,MPL – Memphis TN,US,Wrist watch,Clocks / alarm clocks,Trutime,no,5.0
223,2026-03-06,841,MPL – Memphis TN,US,Sewing machine,Household appliances electric,Brother,yes,5.0
224,2026-03-06,841,MPL – Memphis TN,US,Cotton candy machine,Household appliances electric,Vevor,yes,5.0
225,2026-03-06,841,MPL – Memphis TN,US,Coffee maker,Household appliances electric,Keurig,no,10.0
226,2026-03-06,841,MPL – Memphis TN,US,instapot,Household appliances electric,Zavor,half,4.0
227,2026-03-06,841,MPL – Memphis TN,US,light saber,Toys electric,damien saber,half,7.0
228,2025-03-28,26,Eindhoven-Woensel,NL,Bread maker,Household appliances electric,AFK,no,7.0
229,2025-03-28,26,Eindhoven-Woensel,NL,Robotic vacuum cleaner,Household appliances electric,Roomba,no,8.0
230,2025-03-28,26,Eindhoven-Woensel,NL,Racestuur,Toys electric,Trustmaster,yes,7.0
231,2025-03-28,26,Eindhoven-Woensel,NL,Coffee maker,Household appliances electric,Saeco,yes,8.0
232,2025-03-28,26,Eindhoven-Woensel,NL,Food processor,Household appliances electric,Bosch,half,6.0
233,2025-03-28,26,Eindhoven-Woensel,NL,Floor lamp / Standard lamp,Household appliances electric,Grundig,yes,10.0
234,2025-03-28,26,Eindhoven-Woensel,NL,Combi stoomoven,Household appliances electric,AEG,yes,9.0
235,2025-03-28,26,Eindhoven-Woensel,NL,Coffee grinder,Household appliances electric,Philips,no,9.0
236,2025-03-28,26,Eindhoven-Woensel,NL,Electric heater / radiator,Household appliances electric,Proline,yes,10.0
237,2025-03-28,26,Eindhoven-Woensel,NL,Paper cutter,Other,Dahle,yes,10.0
238,2025-03-28,26,Eindhoven-Woensel,NL,Wall lamp,Household appliances electric,Unknown/n.a.,yes,8.0
239,2025-03-28,26,Eindhoven-Woensel,NL,Garden vacuum,Tools electric,Stihl,yes,10.0
240,2025-03-28,26,Eindhoven-Woensel,NL,Dvd / video player,Display and sound equipment,Samsung,half,5.0
241,2025-03-28,26,Eindhoven-Woensel,NL,Electric drill / Power drill,Tools electric,Parkside,no,6.0
242,2025-03-21,26,Eindhoven-Woensel,NL,Coffee maker,Household appliances electric,Philips,yes,8.0
243,2025-03-21,26,Eindhoven-Woensel,NL,Table lamp,Household appliances electric,Unknown/n.a.,half,7.0
244,2025-03-21,26,Eindhoven-Woensel,NL,Mixer / Blender,Household appliances electric,Philips,yes,8.0
245,2025-11-01,907,Bognor Regis,GB,Typewriter,Other,Royale,yes,9.0
246,2025-03-21,26,Eindhoven-Woensel,NL,Food processor,Household appliances electric,Kenwood,no,5.0
247,2025-11-01,907,Bognor Regis,GB,China ornament,Other,Unknown/n.a.,yes,7.0
248,2025-11-01,907,Bognor Regis,GB,Bag,Textile,New Look,no,8.0
249,2025-03-21,26,Eindhoven-Woensel,NL,Electric toothbrush,Household appliances electric,Kleeneze,no,7.0
250,2025-11-01,907,Bognor Regis,GB,Film projector,Display and sound equipment,DUO,yes,4.0
251,2025-03-21,26,Eindhoven-Woensel,NL,Coffee maker,Household appliances electric,DeLonghi,no,3.0
252,2025-11-01,907,Bognor Regis,GB,Humidifier,Household appliances electric,SilverCrest,no,4.0
253,2025-11-01,907,Bognor Regis,GB,Coffee maker,Household appliances electric,Nespresso,no,3.0
254,2025-11-01,907,Bognor Regis,GB,Trousers / pants,Textile,M&S,yes,8.0
255,2025-03-21,26,Eindhoven-Woensel,NL,Food processor,Household appliances electric,Kenwood,no,7.0
256,2025-10-04,907,Bognor Regis,GB,Trousers / pants,Textile,Unknown/n.a.,yes,7.0
257,2025-03-21,26,Eindhoven-Woensel,NL,Paper shredder,Household appliances electric,Quigg,yes,3.0
258,2025-10-04,907,Bognor Regis,GB,Trousers / pants,Textile,Unknown/n.a.,yes,8.0
259,2025-03-21,26,Eindhoven-Woensel,NL,Grammofoon-radio combinatie,Computer equipment / phones,Philips,half,3.0
260,2025-11-01,907,Bognor Regis,GB,Dog coat,Textile,Unknown/n.a.,yes,10.0
261,2025-03-21,26,Eindhoven-Woensel,NL,Alarm clock,Clocks / alarm clocks,Present Time,yes,8.0
262,2025-03-21,26,Eindhoven-Woensel,NL,Vacuum cleaner,Household appliances electric,Philips,no,7.0
263,2025-11-01,907,Bognor Regis,GB,Trousers / pants,Textile,Unknown/n.a.,yes,9.0
264,2025-03-14,26,Eindhoven-Woensel,NL,Clock,Clocks / alarm clocks,Unknown/n.a.,yes,8.0
265,2025-11-01,907,Bognor Regis,GB,Trousers / pants,Textile,Unknown/n.a.,yes,9.0
266,2025-03-14,26,Eindhoven-Woensel,NL,Christmas lights,Other,Unknown/n.a.,yes,7.0
267,2025-03-14,26,Eindhoven-Woensel,NL,Coffee maker,Household appliances electric,Nespresso,yes,8.0
268,2026-01-31,993,Eindhoven-Doornakkers,NL,Fietstrainer,Other,Crivit,yes,10.0
