index,repair_date,repair_cafe_number,repair_cafe_name,country,kind_of_product,category,brand,repaired,repairability
23266,2023-10-09,692,Vlissingen,NL,Coffee maker,Household appliances electric,De'Longhi,yes,5.0
23267,2018-06-02,24,Delft-Delfshove,NL,Coffee maker,Household appliances electric,De'Longhi,yes,8.0
23268,2017-10-12,4,Capelle aan den IJssel,NL,Coffee maker,Household appliances electric,De'Longhi,yes,8.0
23269,2024-09-21,678,Beverwijk,NL,Coffee maker,Household appliances electric,De'Longhi,no,2.0
23270,2025-01-03,374,Zwolle Stadkamer,NL,Coffee maker,Household appliances electric,De'Longhi,yes,6.0
23271,2020-11-06,50,Middelburg,NL,Coffee maker,Household appliances electric,De'Longhi,yes,10.0
23272,2019-09-02,692,Vlissingen,NL,Coffee maker,Household appliances electric,De'Longhi,yes,6.0
23273,2023-05-27,520,Ivinghoe & Pitstone,GB,Toaster,Household appliances electric,De'Longhi,yes,3.0
23274,2018-02-03,58,Middelharnis,NL,Coffee maker,Household appliances electric,De'Longhi,no,5.0
23275,2023-05-06,250,Madrid Medialab Matadero,ES,Coffee maker,Household appliances electric,De'Longhi,no,10.0
23276,2023-10-21,410,The Gap,AU,Sandwich maker,Household appliances electric,De'Longhi,no,1.0
23277,2023-09-06,412,Terheijden,NL,Coffee maker,Household appliances electric,De'Longhi,half,6.0
23278,2024-03-09,709,Voitsberg,AT,Coffee maker,Household appliances electric,De'Longhi,no,9.0
23279,2023-05-18,503,Doubleview,AU,Coffee maker,Household appliances electric,De'Longhi,no,3.0
23280,2023-04-14,26,Eindhoven-Woensel,NL,Coffee maker,Household appliances electric,De'Longhi,yes,8.0
23281,2024-09-17,515,Zoetermeer-Ambachtenwerkplaats,NL,Coffee maker,Household appliances electric,De'Longhi,no,5.0
23282,2024-02-10,360,Santpoort-Zuid,NL,Coffee maker,Household appliances electric,De'Longhi,yes,2.0
23283,2024-05-23,545,Tubbergen,NL,Coffee maker,Household appliances electric,De'Longhi,no,8.0
23284,2023-10-14,68,Utrecht-Zuilen,NL,Coffee maker,Household appliances electric,De'Longhi,yes,6.0
23285,2023-06-10,401,Stokesley and villages,GB,Toaster,Household appliances electric,De'Longhi,yes,9.0
23286,2024-01-24,412,Terheijden,NL,Coffee maker,Household appliances electric,De'Longhi,half,1.0
23287,2019-03-02,9,Assen,NL,Coffee maker,Household appliances electric,De'Longhi,yes,9.0
23288,2019-10-24,65,Sittard-Geleen,NL,Coffee maker,Household appliances electric,De'Longhi,yes,9.0
23289,2022-10-10,192,Moordrecht,NL,Coffee maker,Household appliances electric,De'Longhi,yes,4.0
23290,2023-05-25,578,Bad Salzdetfurth,DE,Coffee maker,Household appliances electric,De'Longhi,yes,7.0
23291,2020-09-19,16,Delft,NL,Wrist watch,Clocks / alarm clocks,Davis,no,7.0
23292,2020-01-26,188,Dorchester UK,GB,Television,Household appliances electric,Currys,no,1.0
23293,2019-11-09,153,Vancouver,CA,Coffee maker,Household appliances electric,Cuisinart,yes,9.0
23294,2024-04-13,401,Stokesley and villages,GB,Toaster,Household appliances electric,Cuisinart,yes,9.0
23295,2024-12-14,664,Montreal,CA,Toaster,Household appliances electric,Cuisinart,yes,10.0
23296,2019-11-23,129,Maple Ridge,CA,Toaster,Household appliances electric,Cuisinart,no,2.0
23297,2024-02-10,129,Maple Ridge,CA,Toaster,Household appliances electric,Cuisinart,no,1.0
23298,2024-04-20,664,Montreal,CA,Coffee maker,Household appliances electric,Cuisinart,no,1.0
23299,2020-01-04,16,Delft,NL,Food processor,Household appliances electric,Cuisinart,yes,8.0
23300,2020-01-25,153,Vancouver,CA,Rice cooker,Household appliances electric,Cuisinart,half,5.0
23301,2019-08-24,153,Vancouver,CA,Coffee grinder,Household appliances electric,Cuisinart,no,1.0
23302,2023-03-25,17,Utrecht-Oost,NL,Toaster,Household appliances electric,Cuisinart,yes,9.0
23303,2025-03-19,664,Montreal,CA,Toaster,Household appliances electric,Cuisinart,no,7.0
23304,2022-10-23,146,Weymouth,GB,Sandwich maker,Household appliances electric,Cuisinart,no,9.0
23305,2023-09-09,418,Walton-on-Thames,GB,Electric kettle / Electric jug,Household appliances electric,Cuisinart,no,1.0
23306,2021-09-18,153,Vancouver,CA,Electric kettle / Electric jug,Household appliances electric,Cuisinart,half,3.0
23307,2024-04-27,685,Nantes Erdre,FR,Yogurt machine,Household appliances electric,Cuisinart,no,1.0
23308,2021-05-08,153,Vancouver,CA,Blender,Household appliances electric,Cuisinart,no,5.0
23309,2023-10-21,129,Maple Ridge,CA,Blender,Household appliances electric,Cuisinart,yes,8.0
23310,2022-03-26,155,Horsham,GB,Toaster,Household appliances electric,Cuisinart,yes,5.0
23311,2025-01-29,664,Montreal,CA,Coffee maker,Household appliances electric,Cuisinart,no,9.0
23312,2023-01-14,156,Bourgoin-Jallieu,FR,Rice cooker,Household appliances electric,Cuisinart,yes,10.0
23313,2023-06-04,562,El Barrio – Manhattan – New York,US,Toaster oven,Household appliances electric,Cuisinart,yes,5.0
23314,2022-04-16,410,The Gap,AU,Kettle,Household appliances electric,Cuisinart,no,5.0
23315,2025-01-19,513,Central Arkansas,US,Toaster,Household appliances electric,Cuisinart,yes,10.0
23316,2019-05-25,44,New Paltz NY,US,Toaster,Household appliances electric,Cuisinart,no,3.0
23317,2019-11-09,153,Vancouver,CA,Toaster,Household appliances electric,Cuisinart,half,4.0
23318,2019-11-22,26,Eindhoven-Woensel,NL,Blender,Household appliances electric,Cuisinart,no,3.0
